Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EmployeeId,EngagementScore,ExperienceBeforeJob,Gender,GenerationGroup,HomeDistanceLabel,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerfSatIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Travel_Rarely,581,Research & Development,Diploma,Life Sciences,361,Better,Junior,Male,Gen Z,Short Distance,63,Entry Level,Research Scientist,Single,3375,17624,0,No,12,High,0,2,2,1,2
0,Travel_Rarely,541,Sales,Non-Degree,Technical Degree,362,Better,Junior,Male,Gen Z,Short Distance,62,Entry Level,Sales Representative,Divorced,2322,9518,3,No,13,Medium,1,3,0,0,0
0,Travel_Rarely,836,Research & Development,S1,Medical,363,Better,Senior,Female,Gen X,Short Distance,33,Asisten Manager,Manager,Divorced,14756,19730,2,Yes,14,High,3,2,0,0,2
0,Travel_Rarely,102,Research & Development,S2,Life Sciences,364,Better,Expert,Female,Gen X,Long Distance,72,Asisten Manager,Research Director,Single,14275,20206,6,No,18,High,0,0,9,3,8
0,Travel_Frequently,669,Research & Development,S1,Medical,365,Better,Junior,Male,Millennials,Short Distance,97,Asisten Supervisor,Healthcare Representative,Single,5343,25755,0,No,20,Medium,0,3,9,4,9
1,Travel_Rarely,289,Research & Development,S1,Technical Degree,366,Better,Mid-level,Male,Gen X,Short Distance,51,Entry Level,Research Scientist,Single,2479,26227,4,No,24,Medium,0,4,0,0,0
0,Travel_Frequently,618,Research & Development,Non-Degree,Life Sciences,367,Good,Junior,Male,Millennials,Short Distance,45,Asisten Supervisor,Healthcare Representative,Single,7756,22266,0,No,17,Medium,0,1,2,0,4
0,Non-Travel,829,Research & Development,Non-Degree,Life Sciences,368,Better,Junior,Male,Gen Z,Short Distance,88,Supervisor,Manufacturing Director,Single,8474,20925,1,No,22,High,0,2,8,5,8
0,Travel_Rarely,120,Research & Development,S3,Life Sciences,369,Better,Junior,Male,Millennials,Short Distance,43,Entry Level,Research Scientist,Single,3038,12430,3,No,20,Medium,0,2,4,1,4
0,Travel_Rarely,1396,Research & Development,Diploma,Life Sciences,370,Better,Junior,Male,Millennials,Short Distance,62,Asisten Supervisor,Laboratory Technician,Single,5914,9945,8,No,16,High,0,3,11,3,7
0,Travel_Rarely,1142,Research & Development,S1,Life Sciences,371,Better,Mid-level,Male,Gen Y,Short Distance,81,Entry Level,Laboratory Technician,Single,3968,13624,4,No,13,High,0,3,0,0,0
0,Non-Travel,1162,Research & Development,Non-Degree,Medical,372,Good,Junior,Female,Gen Y,Short Distance,98,Supervisor,Research Director,Married,11957,17231,0,No,18,Medium,2,3,8,5,12
0,Travel_Frequently,1184,Sales,S2,Medical,373,Better,Junior,Male,Millennials,Short Distance,62,Asisten Supervisor,Sales Executive,Married,4327,25440,5,No,12,Medium,3,2,0,0,0
0,Non-Travel,1105,Research & Development,S2,Life Sciences,374,Better,Junior,Female,Millennials,Long Distance,47,Asisten Supervisor,Laboratory Technician,Married,5674,6927,7,No,15,Medium,1,3,8,0,8
0,Travel_Rarely,391,Research & Development,Diploma,Life Sciences,375,Better,Junior,Male,Gen Z,Medium Distance,96,Entry Level,Research Scientist,Single,1232,19281,1,No,14,High,0,6,0,0,0
0,Non-Travel,301,Sales,S2,Marketing,376,Good,Junior,Male,Millennials,Medium Distance,88,Asisten Supervisor,Sales Executive,Divorced,5406,10436,1,No,24,High,1,4,12,11,11
0,Travel_Rarely,204,Sales,S1,Technical Degree,377,Better,Junior,Female,Millennials,Medium Distance,31,Entry Level,Sales Representative,Divorced,2579,2912,1,Yes,18,High,2,3,2,0,6
0,Travel_Rarely,557,Research & Development,S2,Life Sciences,378,Good,Junior,Male,Gen Y,Medium Distance,35,Asisten Supervisor,Research Scientist,Divorced,5410,11189,6,Yes,17,Medium,1,3,3,1,2
0,Travel_Rarely,665,Research & Development,S2,Other,379,Better,Junior,Female,Millennials,Short Distance,41,Asisten Supervisor,Research Scientist,Single,4809,12482,1,No,14,Medium,0,3,13,2,10
0,Travel_Rarely,370,Research & Development,S2,Medical,380,Better,Senior,Male,Gen X,Short Distance,92,Supervisor,Healthcare Representative,Divorced,10883,20467,3,No,20,High,1,2,0,0,0
0,Travel_Rarely,1383,Human Resources,S1,Life Sciences,381,Good,Mid-level,Female,Millennials,Short Distance,42,Asisten Supervisor,Human Resources,Married,5204,7790,8,No,11,High,2,2,4,0,4
0,Travel_Rarely,549,Research & Development,S2,Other,382,Better,Junior,Male,Gen Y,Short Distance,75,Asisten Supervisor,Research Scientist,Married,3697,9278,9,No,14,High,2,3,9,9,8
0,Non-Travel,786,Research & Development,S1,Medical,383,Better,Junior,Male,Gen Z,Short Distance,76,Entry Level,Laboratory Technician,Single,2570,11925,1,No,20,High,0,5,7,5,7
0,Travel_Rarely,1443,Sales,S3,Marketing,384,Good,Mid-level,Female,Gen X,Medium Distance,89,Asisten Supervisor,Sales Executive,Married,5380,20328,4,No,16,Medium,1,3,0,0,0
1,Travel_Frequently,307,Research & Development,Diploma,Medical,385,Better,Junior,Male,Millennials,Long Distance,71,Entry Level,Laboratory Technician,Single,3479,11652,0,No,11,Medium,0,2,4,1,4
0,Travel_Rarely,1035,Sales,S2,Life Sciences,386,Better,Senior,Male,Millennials,Short Distance,42,Asisten Supervisor,Sales Executive,Single,6861,4981,8,Yes,12,High,0,1,0,0,0
0,Travel_Rarely,750,Research & Development,S1,Life Sciences,387,Better,Junior,Male,Millennials,Long Distance,46,Asisten Supervisor,Laboratory Technician,Married,3407,25348,1,No,17,High,2,3,9,6,8
0,Travel_Frequently,1327,Research & Development,S2,Medical,388,Better,Mid-level,Male,Millennials,Short Distance,73,Supervisor,Research Director,Divorced,13675,13523,9,No,12,Medium,1,3,2,2,2
0,Travel_Rarely,991,Research & Development,S1,Life Sciences,389,Better,Junior,Female,Gen Z,Short Distance,71,Entry Level,Laboratory Technician,Married,2659,17759,1,Yes,13,High,1,2,2,0,2
0,Travel_Rarely,723,Sales,S2,Marketing,390,Good,Senior,Female,Millennials,Short Distance,77,Asisten Supervisor,Sales Representative,Married,5405,4244,2,Yes,20,Medium,2,4,2,0,3
0,Travel_Rarely,1138,Research & Development,S1,Technical Degree,391,Good,Junior,Female,Gen Z,Short Distance,48,Asisten Supervisor,Laboratory Technician,Married,4627,23631,0,No,12,Medium,1,6,2,6,7
0,Travel_Rarely,796,Sales,Non-Degree,Marketing,392,Better,Junior,Female,Gen Y,Short Distance,81,Supervisor,Sales Executive,Divorced,10447,26458,0,Yes,13,High,1,3,14,13,5
0,Travel_Rarely,943,Research & Development,S1,Life Sciences,393,Good,Junior,Male,Millennials,Short Distance,86,Supervisor,Healthcare Representative,Divorced,8500,5494,0,No,11,Very High,1,0,7,1,6
0,Travel_Rarely,735,Research & Development,Non-Degree,Life Sciences,394,Better,Junior,Male,Millennials,Short Distance,66,Entry Level,Research Scientist,Married,3506,6020,0,Yes,14,High,0,3,2,2,2
0,Travel_Rarely,1240,Research & Development,S2,Life Sciences,395,Better,Junior,Female,Gen Z,Short Distance,33,Entry Level,Laboratory Technician,Divorced,2341,19715,1,No,13,High,1,6,0,0,0
0,Travel_Rarely,722,Sales,Non-Degree,Marketing,396,Good,Junior,Female,Millennials,Long Distance,60,Asisten Manager,Sales Executive,Married,12031,8828,0,No,11,Medium,1,2,9,9,6
0,Travel_Rarely,1162,Research & Development,Diploma,Life Sciences,397,Better,Junior,Male,Gen X,Long Distance,97,Entry Level,Laboratory Technician,Single,2587,10261,1,No,16,High,0,3,2,1,0
0,Travel_Rarely,1373,Research & Development,S2,Life Sciences,398,Better,Mid-level,Male,Millennials,Short Distance,56,Asisten Supervisor,Manufacturing Director,Single,9679,10138,8,No,24,High,0,1,0,0,0
0,Travel_Rarely,691,Research & Development,S2,Technical Degree,399,Better,Junior,Male,Millennials,Short Distance,86,Entry Level,Research Scientist,Married,4821,10077,0,Yes,12,High,1,4,2,0,3
0,Travel_Frequently,443,Research & Development,Non-Degree,Life Sciences,400,Better,Junior,Female,Millennials,Short Distance,48,Entry Level,Laboratory Technician,Married,3755,17872,1,No,11,Medium,1,3,3,0,7
0,Travel_Rarely,1252,Research & Development,Diploma,Life Sciences,401,Better,Junior,Male,Gen Z,Long Distance,81,Entry Level,Research Scientist,Married,2700,23779,1,No,24,High,1,3,7,0,7
0,Non-Travel,775,Research & Development,S1,Technical Degree,402,Good,Junior,Male,Millennials,Short Distance,90,Asisten Supervisor,Research Scientist,Divorced,3055,6194,5,No,15,High,2,2,8,1,7
1,Travel_Rarely,121,Sales,S1,Marketing,403,Better,Junior,Female,Gen Z,Long Distance,35,Supervisor,Sales Executive,Married,7639,24525,1,No,22,High,3,3,4,1,9
1,Travel_Rarely,935,Research & Development,S1,Life Sciences,404,Better,Mid-level,Male,Gen Y,Short Distance,89,Entry Level,Laboratory Technician,Married,2362,14669,4,No,12,Low,0,4,2,1,2
0,Travel_Rarely,841,Research & Development,S1,Other,405,Good,Junior,Female,Gen Z,Short Distance,46,Entry Level,Research Scientist,Married,2368,23300,1,No,19,Medium,0,3,4,4,3
0,Travel_Rarely,163,Sales,S3,Marketing,406,Better,Junior,Female,Gen Y,Short Distance,37,Asisten Supervisor,Sales Executive,Married,4051,19658,2,No,14,Medium,1,2,7,6,7
0,Travel_Rarely,364,Research & Development,S3,Technical Degree,407,Better,Senior,Female,Millennials,Short Distance,32,Asisten Supervisor,Research Scientist,Single,4317,2302,3,Yes,20,High,0,2,2,2,2
0,Travel_Rarely,335,Sales,Diploma,Marketing,408,Good,Mid-level,Male,Millennials,Medium Distance,33,Asisten Supervisor,Sales Executive,Married,5507,16822,2,No,16,Medium,2,1,2,1,3
1,Travel_Rarely,1243,Research & Development,S1,Life Sciences,409,Better,Junior,Male,Gen Z,Short Distance,63,Entry Level,Laboratory Technician,Married,1601,3445,1,Yes,21,Medium,2,2,0,0,0
0,Travel_Rarely,1378,Research & Development,Diploma,Other,410,Good,Mid-level,Male,Gen Z,Medium Distance,46,Asisten Supervisor,Laboratory Technician,Married,4025,23679,4,Yes,13,Medium,1,2,3,0,3
0,Travel_Rarely,939,Research & Development,S1,Life Sciences,411,Better,Mid-level,Male,Gen Y,Long Distance,95,Asisten Manager,Manufacturing Director,Married,13973,4161,3,Yes,18,High,1,2,11,1,5
0,Travel_Rarely,1189,Sales,S1,Life Sciences,412,Better,Mid-level,Male,Millennials,Short Distance,87,Supervisor,Sales Executive,Single,7428,14506,2,No,12,Medium,0,3,3,1,3
0,Travel_Rarely,771,Research & Development,Diploma,Life Sciences,413,Good,Junior,Male,Gen Z,Short Distance,45,Asisten Supervisor,Healthcare Representative,Single,4617,14120,1,No,12,Medium,0,2,3,1,2
0,Travel_Rarely,1398,Human Resources,Diploma,Medical,414,Better,Junior,Female,Millennials,Short Distance,96,Entry Level,Human Resources,Single,2109,24609,9,No,18,High,0,3,2,0,2
1,Travel_Rarely,1184,Sales,S1,Marketing,415,Better,Junior,Female,Gen Y,Medium Distance,43,Supervisor,Sales Executive,Married,7654,5860,1,No,18,Medium,2,3,8,7,7
0,Travel_Frequently,135,Research & Development,S1,Medical,416,Better,Junior,Female,Millennials,Medium Distance,46,Asisten Supervisor,Laboratory Technician,Divorced,4444,22534,4,No,13,Medium,2,2,8,5,10
1,Travel_Rarely,1102,Sales,Diploma,Life Sciences,417,Good,Junior,Female,Gen Y,Short Distance,94,Asisten Supervisor,Sales Executive,Single,5993,19479,8,Yes,11,Medium,0,0,4,0,5
0,Travel_Rarely,970,Research & Development,Diploma,Medical,418,Better,Junior,Female,Millennials,Short Distance,96,Asisten Supervisor,Healthcare Representative,Single,6142,7360,3,No,11,High,0,2,1,4,3
0,Travel_Frequently,505,Research & Development,S2,Technical Degree,419,Better,Junior,Female,Millennials,Short Distance,64,Supervisor,Healthcare Representative,Single,10938,6420,0,No,25,High,0,1,6,11,8
1,Travel_Frequently,1125,Research & Development,Non-Degree,Life Sciences,420,Good,Junior,Female,Millennials,Medium Distance,72,Entry Level,Research Scientist,Single,3919,4681,1,Yes,22,Low,0,5,2,6,7
0,Travel_Frequently,889,Research & Development,S1,Medical,421,Good,Junior,Male,Millennials,Short Distance,53,Entry Level,Research Scientist,Married,2326,11411,1,Yes,12,High,3,3,2,1,2
1,Travel_Rarely,138,Research & Development,S1,Life Sciences,422,Better,Junior,Female,Gen Z,Long Distance,48,Entry Level,Research Scientist,Married,2132,11539,4,Yes,11,Medium,0,2,2,0,1
0,Travel_Rarely,1001,Research & Development,S1,Life Sciences,423,Good,Mid-level,Female,Gen Y,Short Distance,92,Supervisor,Manufacturing Director,Divorced,10333,19271,8,Yes,12,Medium,1,4,11,14,10
0,Travel_Rarely,452,Research & Development,S1,Medical,424,Better,Junior,Male,Gen X,Short Distance,81,Manager,Manager,Single,19045,18938,0,Yes,14,Medium,0,2,10,4,13
0,Travel_Rarely,1225,Research & Development,Diploma,Life Sciences,425,Better,Junior,Male,Millennials,Short Distance,80,Entry Level,Research Scientist,Single,4680,15232,3,No,17,High,0,2,0,0,0
0,Travel_Rarely,619,Sales,S1,Marketing,426,Better,Junior,Male,Millennials,Short Distance,85,Asisten Supervisor,Sales Executive,Married,4717,18659,9,No,11,Medium,0,2,9,6,9
0,Travel_Frequently,638,Research & Development,S1,Medical,427,Good,Senior,Male,Gen Y,Short Distance,40,Supervisor,Healthcare Representative,Married,10673,3142,2,Yes,13,Medium,1,5,9,9,5
0,Travel_Rarely,1082,Research & Development,S2,Medical,428,Better,Junior,Female,Gen Z,Short Distance,43,Entry Level,Laboratory Technician,Married,2974,25412,9,No,17,High,1,2,3,1,2
0,Travel_Rarely,922,Research & Development,Diploma,Life Sciences,429,Better,Mid-level,Female,Millennials,Short Distance,39,Entry Level,Laboratory Technician,Divorced,2835,2561,5,No,22,Medium,1,2,0,0,0
0,Non-Travel,1269,Research & Development,Non-Degree,Life Sciences,430,Good,Junior,Male,Gen Z,Short Distance,46,Entry Level,Laboratory Technician,Married,3162,10778,0,No,17,High,0,2,2,3,4
0,Travel_Rarely,1464,Research & Development,S2,Medical,431,Good,Expert,Male,Gen Y,Short Distance,62,Manager,Research Director,Married,19237,12853,2,Yes,11,High,1,2,1,7,7
0,Non-Travel,1184,Research & Development,S1,Life Sciences,432,Better,Junior,Female,Millennials,Short Distance,70,Entry Level,Laboratory Technician,Married,2332,3974,6,No,20,Medium,0,3,0,0,2
0,Travel_Rarely,121,Research & Development,S2,Medical,433,Good,Junior,Female,Millennials,Short Distance,86,Entry Level,Research Scientist,Single,4381,7530,1,No,11,Medium,0,3,5,1,3
0,Travel_Rarely,652,Research & Development,S1,Other,434,Better,Junior,Male,Gen Z,Short Distance,100,Entry Level,Laboratory Technician,Single,3578,23577,0,No,12,Medium,0,2,7,0,7
0,Travel_Frequently,1141,Sales,S1,Life Sciences,435,Better,Junior,Female,Millennials,Short Distance,42,Asisten Supervisor,Sales Executive,Married,5376,3193,2,No,19,Low,2,3,3,1,3
0,Travel_Rarely,1108,Research & Development,S2,Other,436,Good,Junior,Female,Gen Y,Medium Distance,65,Entry Level,Research Scientist,Married,2367,16530,8,No,12,Medium,1,3,2,7,6
0,Travel_Frequently,1199,Research & Development,S2,Life Sciences,437,Better,Junior,Male,Millennials,Medium Distance,80,Asisten Supervisor,Healthcare Representative,Married,5689,24594,1,Yes,14,High,2,2,2,0,2
0,Travel_Frequently,1391,Research & Development,Non-Degree,Medical,438,Good,Junior,Male,Millennials,Short Distance,66,Entry Level,Research Scientist,Married,2684,12127,0,No,17,Medium,1,0,1,0,2
0,Travel_Rarely,1462,Research & Development,S1,Medical,439,Better,Junior,Female,Millennials,Medium Distance,94,Entry Level,Laboratory Technician,Single,3629,19106,4,No,18,Low,0,6,2,0,2
0,Travel_Rarely,1276,Research & Development,S1,Life Sciences,440,Better,Junior,Male,Millennials,Medium Distance,72,Supervisor,Healthcare Representative,Married,7632,14295,4,Yes,12,High,0,2,7,0,0
0,Travel_Rarely,128,Research & Development,Non-Degree,Technical Degree,441,Good,Junior,Male,Millennials,Short Distance,84,Asisten Supervisor,Laboratory Technician,Single,2176,19737,4,No,13,High,0,5,2,0,4
0,Travel_Frequently,240,Research & Development,S2,Life Sciences,442,Better,Junior,Female,Millennials,Short Distance,75,Asisten Supervisor,Manufacturing Director,Single,5980,26085,6,Yes,12,Medium,0,2,7,4,12
0,Travel_Rarely,117,Research & Development,Non-Degree,Medical,443,Better,Junior,Male,Millennials,Short Distance,99,Asisten Manager,Manager,Married,17068,5355,1,Yes,14,Medium,0,3,9,11,10
0,Travel_Rarely,117,Research & Development,S1,Medical,444,Better,Junior,Male,Millennials,Short Distance,60,Entry Level,Research Scientist,Married,2781,6311,0,No,13,Medium,1,5,10,4,10
0,Travel_Rarely,511,Sales,Diploma,Life Sciences,445,Good,Junior,Female,Millennials,Short Distance,32,Asisten Supervisor,Sales Executive,Single,6029,25353,5,No,12,High,0,3,2,2,2
0,Travel_Rarely,326,Sales,S1,Life Sciences,446,Good,Mid-level,Female,Gen X,Short Distance,48,Asisten Supervisor,Sales Executive,Single,5171,16490,5,No,17,High,0,2,1,0,5
0,Travel_Rarely,928,Sales,Diploma,Life Sciences,447,Good,Junior,Male,Millennials,Short Distance,56,Asisten Supervisor,Sales Executive,Married,6201,2823,1,Yes,14,High,1,1,14,4,11
0,Travel_Frequently,663,Research & Development,S1,Other,448,Better,Junior,Male,Millennials,Medium Distance,47,Supervisor,Research Director,Divorced,12185,10056,1,Yes,14,High,3,1,8,0,7
0,Travel_Rarely,1079,Sales,S2,Marketing,449,Better,Mid-level,Male,Millennials,Medium Distance,70,Supervisor,Sales Executive,Married,8161,19002,2,No,13,Low,3,2,0,0,0
0,Travel_Rarely,1117,Research & Development,Diploma,Life Sciences,450,Better,Junior,Female,Gen Z,Short Distance,66,Entry Level,Research Scientist,Single,3310,4488,1,No,21,Very High,0,3,3,0,2
0,Travel_Rarely,1245,Research & Development,S2,Life Sciences,451,Good,Junior,Male,Gen Y,Medium Distance,58,Manager,Research Director,Divorced,19502,2125,1,Yes,17,High,1,5,9,0,9
0,Travel_Rarely,254,Research & Development,Diploma,Life Sciences,452,Good,Junior,Male,Millennials,Short Distance,83,Entry Level,Research Scientist,Married,3622,22794,1,Yes,13,High,1,3,5,1,3
0,Non-Travel,894,Research & Development,S2,Medical,453,Good,Junior,Female,Millennials,Short Distance,33,Asisten Supervisor,Manufacturing Director,Married,4374,15411,0,No,15,High,0,6,2,1,2
0,Travel_Rarely,1395,Research & Development,S2,Medical,454,Better,Mid-level,Male,Gen X,Long Distance,48,Supervisor,Healthcare Representative,Married,7005,3458,3,No,15,High,0,2,3,1,2
0,Travel_Frequently,708,Sales,Diploma,Medical,455,Better,Mid-level,Female,Gen Y,Short Distance,95,Entry Level,Sales Representative,Married,2655,11740,2,Yes,11,High,2,3,7,7,7
1,Travel_Rarely,1204,Sales,S1,Technical Degree,456,Better,Junior,Male,Millennials,Short Distance,86,Supervisor,Sales Executive,Single,9582,10333,0,Yes,22,Medium,0,2,7,4,7
0,Travel_Frequently,994,Sales,S1,Life Sciences,457,Better,Junior,Male,Gen Z,Short Distance,37,Supervisor,Sales Executive,Single,8726,2975,1,No,15,High,0,0,8,1,7
0,Travel_Rarely,1355,Research & Development,S2,Life Sciences,458,Good,Senior,Male,Gen Y,Short Distance,78,Supervisor,Healthcare Representative,Single,10999,22245,7,No,14,Medium,0,3,11,4,8
0,Travel_Rarely,933,Research & Development,S2,Life Sciences,459,Better,Junior,Male,Gen Y,Short Distance,94,Entry Level,Laboratory Technician,Married,2238,6961,2,No,21,Medium,1,2,0,1,4
0,Travel_Frequently,469,Research & Development,S1,Technical Degree,460,Good,Junior,Male,Millennials,Short Distance,46,Entry Level,Research Scientist,Married,3692,9256,1,No,12,Medium,0,2,10,0,7
0,Non-Travel,1151,Research & Development,S3,Life Sciences,461,Good,Junior,Male,Millennials,Short Distance,63,Asisten Supervisor,Healthcare Representative,Married,4876,14242,9,No,14,Very High,1,5,2,0,2
0,Travel_Rarely,464,Research & Development,S1,Medical,462,Good,Senior,Female,Gen Y,Medium Distance,74,Entry Level,Laboratory Technician,Divorced,2587,24941,4,Yes,16,Medium,1,2,2,2,2
0,Travel_Rarely,746,Research & Development,S2,Life Sciences,463,Better,Junior,Female,Millennials,Short Distance,61,Asisten Supervisor,Manufacturing Director,Single,4424,20682,1,No,23,High,0,2,7,1,8
1,Travel_Rarely,1362,Research & Development,Non-Degree,Medical,464,Better,Junior,Male,Gen Z,Short Distance,32,Entry Level,Research Scientist,Single,1009,26999,1,Yes,11,High,0,5,0,1,1
0,Travel_Rarely,370,Research & Development,S2,Medical,465,Good,Junior,Male,Millennials,Short Distance,58,Asisten Supervisor,Manufacturing Director,Single,4213,4992,1,No,15,Medium,0,4,3,0,8
1,Travel_Rarely,318,Research & Development,S1,Medical,466,Good,Junior,Male,Millennials,Short Distance,79,Entry Level,Research Scientist,Married,3388,21777,0,Yes,17,Medium,1,0,0,0,0
0,Travel_Rarely,369,Research & Development,Diploma,Life Sciences,467,Better,Senior,Female,Millennials,Short Distance,92,Asisten Supervisor,Manufacturing Director,Married,6516,5041,2,Yes,16,Low,1,3,0,0,0
0,Travel_Frequently,944,Sales,S1,Marketing,468,Better,Junior,Female,Millennials,Short Distance,92,Supervisor,Sales Executive,Single,8789,9096,1,No,14,Medium,0,3,7,0,8
0,Travel_Rarely,1206,Research & Development,Non-Degree,Medical,469,Good,Junior,Female,Gen Z,Medium Distance,41,Asisten Supervisor,Manufacturing Director,Divorced,4377,24117,1,No,15,High,2,6,2,3,2
0,Travel_Rarely,373,Research & Development,Diploma,Life Sciences,470,Better,Junior,Male,Gen Z,Short Distance,47,Entry Level,Research Scientist,Married,1223,16901,1,No,22,High,1,2,0,0,1
0,Travel_Rarely,1476,Research & Development,Diploma,Medical,471,Better,Junior,Male,Gen Z,Medium Distance,68,Asisten Supervisor,Healthcare Representative,Single,5661,4824,0,No,19,Medium,0,2,3,0,7
0,Travel_Rarely,1179,Sales,S2,Marketing,472,Better,Mid-level,Male,Gen X,Medium Distance,84,Asisten Supervisor,Sales Executive,Single,5405,11924,8,No,14,Medium,0,1,2,2,2
0,Travel_Frequently,1379,Research & Development,S2,Medical,473,Better,Junior,Male,Gen Y,Medium Distance,64,Asisten Supervisor,Manufacturing Director,Divorced,5067,6759,1,Yes,19,High,0,3,10,2,7
0,Travel_Rarely,427,Human Resources,S2,Human Resources,474,Good,Junior,Male,Gen Y,Short Distance,73,Manager,Manager,Divorced,19141,8861,3,No,15,Medium,3,2,6,12,6
0,Travel_Rarely,477,Research & Development,S1,Medical,475,Better,Junior,Male,Gen Z,Long Distance,49,Entry Level,Laboratory Technician,Single,3597,6409,8,No,22,High,0,2,3,1,2
0,Travel_Rarely,1086,Research & Development,Non-Degree,Medical,476,Good,Junior,Female,Gen Z,Short Distance,62,Entry Level,Laboratory Technician,Divorced,2532,6054,6,No,14,Medium,3,5,3,0,3
1,Travel_Frequently,504,Research & Development,S1,Medical,477,Better,Senior,Male,Millennials,Short Distance,61,Supervisor,Manufacturing Director,Divorced,10048,22573,6,No,11,Medium,2,5,0,0,0
0,Travel_Rarely,737,Sales,S1,Medical,478,Good,Junior,Male,Millennials,Short Distance,55,Supervisor,Sales Executive,Married,10306,21530,9,No,17,Medium,0,3,12,6,0
0,Travel_Rarely,468,Research & Development,S2,Medical,479,Good,Junior,Female,Gen Z,Long Distance,73,Entry Level,Research Scientist,Single,3785,8489,1,No,14,Medium,0,3,4,0,4
0,Travel_Frequently,135,Research & Development,S2,Medical,480,Better,Mid-level,Male,Gen X,Medium Distance,62,Asisten Supervisor,Healthcare Representative,Married,6385,12992,3,Yes,14,High,2,3,7,6,7
0,Travel_Rarely,852,Research & Development,Non-Degree,Life Sciences,481,Good,Junior,Male,Gen Z,Short Distance,55,Asisten Supervisor,Laboratory Technician,Married,5126,15998,1,Yes,12,High,2,1,8,3,0
0,Travel_Rarely,1128,Research & Development,S1,Medical,482,Better,Mid-level,Male,Gen Y,Medium Distance,95,Asisten Supervisor,Healthcare Representative,Married,5538,5696,5,No,18,Medium,2,2,0,0,0
0,Travel_Rarely,441,Research & Development,Non-Degree,Other,483,Good,Junior,Female,Gen Z,Short Distance,39,Asisten Supervisor,Healthcare Representative,Married,9715,7288,3,No,13,Medium,1,3,7,0,7
0,Travel_Rarely,703,Sales,Diploma,Marketing,484,Better,Junior,Male,Gen Z,Long Distance,66,Asisten Supervisor,Sales Executive,Married,6272,7428,1,No,20,Medium,2,5,3,1,4
1,Travel_Rarely,318,Research & Development,S2,Other,485,Good,Junior,Male,Gen Z,Short Distance,77,Entry Level,Laboratory Technician,Married,2119,4759,1,Yes,11,Medium,0,4,7,0,7
1,Travel_Rarely,688,Research & Development,S1,Medical,486,Better,Junior,Male,Gen Z,Short Distance,91,Entry Level,Laboratory Technician,Married,4031,9396,5,No,13,Low,1,5,2,0,2
0,Travel_Rarely,1495,Research & Development,Diploma,Medical,487,Good,Mid-level,Female,Millennials,Short Distance,87,Entry Level,Laboratory Technician,Married,3306,26176,7,No,19,High,1,5,0,0,0
0,Travel_Rarely,1107,Research & Development,S1,Life Sciences,488,Good,Junior,Female,Millennials,Medium Distance,95,Entry Level,Laboratory Technician,Divorced,3034,26914,1,No,12,Medium,1,2,7,12,17
0,Travel_Rarely,1278,Human Resources,S1,Life Sciences,489,Better,Junior,Male,Millennials,Short Distance,77,Entry Level,Human Resources,Married,2342,8635,0,No,21,Low,0,3,4,0,3
1,Non-Travel,906,Research & Development,Diploma,Life Sciences,490,Good,Junior,Male,Gen Y,Short Distance,95,Entry Level,Research Scientist,Divorced,2107,20293,6,No,17,Low,1,2,0,0,0
0,Travel_Rarely,1174,Sales,S2,Marketing,491,Better,Mid-level,Female,Millennials,Short Distance,99,Asisten Supervisor,Sales Executive,Single,9278,20763,3,Yes,16,Medium,0,3,4,0,1
0,Travel_Rarely,1333,Research & Development,S1,Technical Degree,492,Better,Junior,Female,Millennials,Short Distance,80,Supervisor,Research Director,Married,13582,16292,1,No,13,Medium,1,3,12,5,11
0,Travel_Rarely,465,Research & Development,Non-Degree,Life Sciences,493,Good,Senior,Female,Gen Y,Short Distance,41,Asisten Manager,Healthcare Representative,Married,13966,11652,2,Yes,19,Medium,1,3,11,2,12
0,Travel_Rarely,362,Research & Development,Non-Degree,Life Sciences,494,Good,Mid-level,Female,Millennials,Short Distance,43,Entry Level,Research Scientist,Single,2619,14561,3,No,17,Medium,0,3,0,0,0
0,Travel_Rarely,1318,Sales,S2,Marketing,495,Good,Mid-level,Female,Gen X,Long Distance,66,Asisten Manager,Manager,Married,16307,5594,2,No,14,Medium,1,2,6,4,17
0,Travel_Rarely,1319,Research & Development,S1,Medical,496,Better,Mid-level,Male,Millennials,Short Distance,51,Asisten Supervisor,Research Scientist,Divorced,5974,17001,4,Yes,13,Low,2,2,7,6,7
1,Travel_Frequently,871,Research & Development,S1,Life Sciences,497,Good,Junior,Female,Gen Z,Short Distance,66,Entry Level,Laboratory Technician,Single,2926,19783,1,Yes,18,High,0,5,0,1,0
0,Travel_Rarely,974,Research & Development,S2,Medical,498,Better,Junior,Female,Gen Y,Short Distance,91,Entry Level,Laboratory Technician,Divorced,2270,11005,3,No,14,Very High,2,2,3,0,2
1,Travel_Rarely,984,Research & Development,Diploma,Life Sciences,499,Good,Junior,Female,Gen Z,Medium Distance,97,Entry Level,Laboratory Technician,Married,2210,3372,1,No,13,Medium,1,3,0,0,0
